ringnr natal.island adult.island disp hatch.year gen_sex
8747125 26 26 0 1999 1
8747412 26 26 0 1999 0
8747630 26 26 0 1999 1
8747636 26 26 0 1999 1
8747698 27 26 1 1999 0
8747759 26 26 0 1999 0
8747808 26 26 0 1999 1
8747809 26 26 0 1999 0
8747811 26 26 0 1999 1
8794305 26 26 0 1999 1
8794306 26 26 0 1999 0
8794375 28 26 1 1999 0
8800439 28 26 1 1999 0
8800440 27 26 1 1999 1
8800441 27 26 1 1999 1
8800497 26 26 0 1999 0
8747369 20 20 0 1999 1
8747371 20 20 0 1999 0
8747406 20 20 0 1999 1
8747408 20 20 0 1999 0
8747410 20 20 0 1999 0
8747609 20 20 0 1999 0
8747691 27 20 1 1999 0
8747692 20 20 0 1999 0
8747693 20 20 0 1999 0
8747694 20 20 0 1999 0
8800395 27 20 1 1999 0
8747417 28 22 1 1999 1
8800166 38 38 0 2000 1
8800168 38 38 0 2000 1
8800170 38 38 0 2000 0
8800171 38 38 0 2000 0
8800321 38 38 0 2000 0
8800322 38 38 0 2000 1
8800424 38 38 0 2000 1
8800488 38 38 0 2000 0
8800489 38 38 0 2000 1
8800490 38 38 0 2000 1
8800494 38 38 0 2000 0
8800495 38 38 0 2000 0
8800529 38 38 0 2000 0
8800533 38 38 0 2000 0
8800535 38 38 0 2000 1
8800537 38 38 0 2000 1
8857277 28 38 1 2000 0
8800073 28 28 0 2000 1
8800090 28 28 0 2000 1
8800091 26 28 1 2000 0
8800095 27 28 1 2000 1
8800175 28 28 0 2000 0
8800176 28 28 0 2000 0
8800177 28 28 0 2000 1
8800178 28 28 0 2000 1
8800179 28 28 0 2000 0
8800181 28 28 0 2000 0
8800182 28 28 0 2000 0
8800196 23 28 1 2000 1
8800390 28 28 0 2000 0
8800434 28 28 0 2000 0
8800436 28 28 0 2000 0
8800437 28 28 0 2000 1
8800523 28 28 0 2000 1
8800524 28 28 0 2000 0
8800567 28 28 0 2000 0
8857226 27 28 1 2000 1
8747748 27 27 0 2000 0
8747749 27 27 0 2000 0
8747760 27 27 0 2000 1
8747761 27 27 0 2000 1
8747764 27 27 0 2000 1
8747974 88 27 1 2000 0
8794307 27 27 0 2000 1
8800018 27 27 0 2000 1
8800019 27 27 0 2000 0
8800021 27 27 0 2000 0
8800022 27 27 0 2000 1
8800023 27 27 0 2000 0
8800030 27 27 0 2000 1
8800031 27 27 0 2000 1
8800035 28 27 1 2000 0
8800037 27 27 0 2000 0
8800038 27 27 0 2000 1
8800045 26 27 1 2000 1
8800046 26 27 1 2000 0
8800074 27 27 0 2000 1
8800075 27 27 0 2000 1
8800077 27 27 0 2000 1
8800199 23 27 1 2000 1
8800314 27 27 0 2000 0
8800355 27 27 0 2000 1
8800357 27 27 0 2000 0
8800391 27 27 0 2000 1
8800392 27 27 0 2000 1
8800397 27 27 0 2000 1
8800402 27 27 0 2000 0
8800417 27 27 0 2000 1
8800418 27 27 0 2000 1
8800468 27 27 0 2000 1
8800469 27 27 0 2000 0
8800470 27 27 0 2000 1
8800504 27 27 0 2000 0
8800510 27 27 0 2000 0
8800511 27 27 0 2000 1
8800512 26 27 1 2000 0
8800515 27 27 0 2000 1
8800517 27 27 0 2000 0
8800519 27 27 0 2000 1
8800521 27 27 0 2000 1
8800538 27 27 0 2000 0
8800547 27 27 0 2000 0
8800570 27 27 0 2000 1
8800592 27 27 0 2000 1
8800612 27 27 0 2000 1
8800613 27 27 0 2000 0
8800614 27 27 0 2000 0
8800615 27 27 0 2000 0
8800616 26 27 1 2000 0
8800617 88 27 1 2000 1
8857231 27 27 0 2000 0
8857232 27 27 0 2000 1
8857246 27 27 0 2000 0
8857415 27 27 0 2000 1
8747780 26 26 0 2000 0
8747781 26 26 0 2000 1
8747799 26 26 0 2000 1
8794367 26 26 0 2000 1
8794368 26 26 0 2000 1
8794372 26 26 0 2000 1
8800027 26 26 0 2000 1
8800028 26 26 0 2000 0
8800029 26 26 0 2000 1
8800041 26 26 0 2000 0
8800042 26 26 0 2000 0
8800059 27 26 1 2000 1
8800060 27 26 1 2000 1
8800371 26 26 0 2000 0
8800372 26 26 0 2000 1
8800375 26 26 0 2000 1
8800376 26 26 0 2000 0
8800382 26 26 0 2000 1
8800477 26 26 0 2000 0
8800478 26 26 0 2000 0
8800568 28 26 1 2000 1
8857202 26 26 0 2000 1
8800061 88 20 1 2000 0
8800302 27 20 1 2000 1
8800307 20 20 0 2000 1
8800416 27 20 1 2000 1
8800450 20 20 0 2000 0
8800482 20 20 0 2000 0
8800370 22 22 0 2000 0
8800935 38 38 0 2001 1
8800936 38 38 0 2001 1
8800937 38 38 0 2001 1
8857215 38 38 0 2001 0
8857274 38 38 0 2001 1
8857275 38 38 0 2001 1
8857276 38 38 0 2001 1
8857278 38 38 0 2001 0
8857279 38 38 0 2001 1
8857281 38 38 0 2001 0
8857284 27 38 1 2001 0
8857285 38 38 0 2001 0
8747872 33 28 1 2001 0
8747905 28 28 0 2001 0
8747906 28 28 0 2001 1
8800094 28 28 0 2001 1
8857223 28 28 0 2001 0
8857233 27 28 1 2001 1
8887315 27 28 1 2001 0
8887316 28 28 0 2001 1
8887411 28 28 0 2001 1
8887416 38 28 1 2001 1
8887421 28 28 0 2001 0
8747900 26 27 1 2001 1
8747976 27 27 0 2001 0
8747979 27 27 0 2001 0
8800550 27 27 0 2001 1
8800574 27 27 0 2001 1
8800593 27 27 0 2001 0
8857205 27 27 0 2001 1
8857207 26 27 1 2001 0
8857220 27 27 0 2001 0
8857230 27 27 0 2001 0
8857237 27 27 0 2001 1
8857243 27 27 0 2001 1
8857405 33 27 1 2001 0
8857407 33 27 1 2001 1
8857416 27 27 0 2001 0
8866751 27 27 0 2001 0
8866752 27 27 0 2001 1
8866754 27 27 0 2001 0
8866790 27 27 0 2001 0
8866791 28 27 1 2001 0
8747936 26 26 0 2001 0
8747940 26 26 0 2001 1
8747941 26 26 0 2001 0
8747942 26 26 0 2001 0
8747948 26 26 0 2001 0
8747982 26 26 0 2001 1
8800066 26 26 0 2001 1
8857208 26 26 0 2001 1
8857210 26 26 0 2001 0
8857213 26 26 0 2001 0
8857252 26 26 0 2001 1
8857401 26 26 0 2001 1
8857404 26 26 0 2001 0
8747871 33 20 1 2001 0
8747901 20 20 0 2001 0
8857249 20 20 0 2001 0
8866800 20 20 0 2001 1
8887341 20 20 0 2001 0
8887385 27 20 1 2001 0
8747878 22 22 0 2001 0
8800556 22 22 0 2001 0
8887130 88 24 0 2001 1
8866773 38 38 0 2002 1
8887262 38 38 0 2002 0
8887264 38 38 0 2002 0
8887266 38 38 0 2002 1
8887356 38 38 0 2002 1
8887357 38 38 0 2002 0
8887358 38 38 0 2002 1
8887360 38 38 0 2002 1
8887396 38 38 0 2002 0
