ringnr,hatchyear,lastyear,firstisland,lastisland,HelgelandSNPisland
8168770,1999,1999,27,27,1
8168771,1998,1999,27,27,1
8168772,1998,1999,27,27,1
8168773,1999,1999,26,26,1
8168774,1999,1999,26,26,1
8168775,1999,1999,26,26,1
8168776,1999,1999,26,26,1
8168777,1999,1999,26,26,1
8168778,1999,1999,26,26,1
8168779,1999,1999,331,331, 
8168780,1999,1999,331,331, 
8168781,1999,1999,331,331, 
8168782,1999,1999,331,331, 
8168783,1999,1999,331,331, 
8168784,1999,1999,24,24,1
8168785,1999,1999,24,24,1
8168786,1999,1999,24,24,1
8168787,1999,1999,24,24,1
8168788,1999,1999,24,24,1
8168789,1999,1999,35,35, 
8168790,1999,1999,35,35, 
8168791,1999,1999,35,35, 
8168792,1999,1999,35,35, 
8168793,1999,1999,24,24,1
8168794,1999,1999,24,24,1
8168795,1999,1999,24,24,1
8168796,1998,1999,24,24,1
8168797,1999,1999,24,24,1
8168798,1999,1999,24,24,1
8168799,1999,1999,24,24,1
8168800,1999,1999,24,24,1
8309115,2007,2007,27,27,1
8309116,2007,2007,27,27,1
8309117,2007,2007,27,27,1
8309118,2007,2007,27,27,1
8309119,2007,2007,27,27,1
8309120,2007,2007,27,27,1
8309121,2007,2007,27,27,1
8309122,2007,2007,27,27,1
8309123,2007,2007,27,27,1
8309124,2007,2007,27,27,1
8309125,2006,2007,30,30, 
8309126,2007,2007,30,30, 
8309127,2007,2007,30,30, 
8309128,2007,2010,30,27,1
8309129,2007,2007,27,27,1
8309130,2007,2007,27,27,1
8309131,2007,2007,27,27,1
8309132,2007,2007,27,27,1
8309133,2007,2007,27,27,1
8309134,2007,2007,27,27,1
8309135,2007,2008,27,27,1
8309136,2007,2007,27,27,1
8309137,2007,2007,27,27,1
8309138,2007,2007,22,22,1
8309139,2007,2007,22,22,1
8309140,2007,2008,27,27,1
8309141,2007,2010,27,27,1
8309142,2007,2007,26,26,1
8309143,2007,2010,26,26,1
8309144,2007,2007,26,26,1
8309145,2007,2007,26,26,1
8309146,2007,2008,26,26,1
8309147,2007,2007,26,26,1
8309148,2007,2007,26,26,1
8309149,2007,2007,26,26,1
8309150,2007,2008,28,28,1
8309151,2007,2007,28,28,1
8309152,2007,2007,28,28,1
8309153,2007,2007,28,28,1
8309154,2007,2007,28,28,1
8309155,2007,2008,28,28,1
8309156,2007,2013,28,28,1
8309157,2007,2007,28,28,1
8309158,2007,2010,28,28,1
8309159,2007,2008,28,28,1
8309160,2007,2007,28,28,1
8309161,2007,2008,28,28,1
8309162,2007,2009,38,38,1
8309163,2007,2007,38,38,1
8309164,2007,2009,38,38,1
8309165,2007,2009,38,38,1
8309166,2007,2007,30,30, 
8309167,2007,2007,30,30, 
8309168,2007,2007,27,27,1
8309169,2007,2007,27,27,1
8309170,2007,2007,27,27,1
8309171,2007,2011,27,27,1
8309172,2007,2007,27,27,1
8309173,2007,2008,27,27,1
8309174,2007,2007,27,27,1
8309175,2007,2013,27,26,1
8309176,2007,2007,27,27,1
8309177,2007,2007,27,27,1
8309178,2007,2007,27,27,1
8309179,2007,2007,27,27,1
8309180,2007,2007,27,27,1
8309181,2007,2007,27,27,1
8309182,2007,2009,27,27,1
8309183,2007,2008,27,27,1
8309184,2007,2008,27,24,1
8309185,2007,2007,27,27,1
8309186,2007,2008,27,24,1
8309187,2007,2007,27,27,1
8309188,2007,2007,26,26,1
8309189,2007,2007,26,26,1
8309190,2007,2011,26,26,1
8309191,2007,2011,26,26,1
8309192,2007,2007,26,26,1
8309193,2007,2007,26,26,1
8309194,2007,2007,26,26,1
8309195,2007,2008,27,26,1
8309196,2007,2007,27,27,1
8309197,2007,2008,27,27,1
8309198,2007,2007,27,27,1
8309199,2007,2007,27,27,1
8309200,2007,2007,26,26,1
8309201,2007,2008,25,23,1
8309202,2007,2007,25,25, 
8309203,2007,2007,25,25, 
8309204,2007,2007,25,23,1
8309205,2007,2007,23,23,1
8309206,2007,2007,23,23,1
8309207,2007,2007,23,23,1
8309208,2007,2007,23,23,1
8309209,2007,2007,23,23,1
8309210,2007,2008,63,63, 
8309211,2007,2007,63,63, 
8309212,2007,2007,63,63, 
8309213,2007,2007,63,63, 
8309214,2007,2007,63,63, 
8309215,2007,2008,63,63, 
8309216,2007,2010,63,63, 
8309217,2007,2007,63,63, 
8309218,2007,2012,63,63, 
8309219,2007,2007,63,63, 
8309220,2007,2007,63,63, 
8309221,2007,2007,63,63, 
8309222,2007,2007,63,63, 
8309223,2007,2007,63,63, 
8309224,2007,2007,63,63, 
8309225,2007,2007,63,63, 
8309226,2007,2007,63,63, 
8309227,2007,2007,63,63, 
8309228,2007,2007,63,63, 
8309229,2007,2007,63,63, 
8309230,2007,2007,63,63, 
8309231,2007,2015,63,63, 
8309232,2007,2007,63,63, 
8309233,2007,2007,63,63, 
8309234,2007,2007,63,63, 
8309235,2007,2007,63,63, 
8309236,2007,2007,63,63, 
8309237,2007,2007,63,63, 
8309238,2007,2007,63,63, 
8309239,2007,2007,63,63, 
8309240,2007,2008,63,63, 
8309241,2007,2007,63,63, 
8309242,2007,2007,63,63, 
8309243,2007,2009,63,63, 
8309244,2007,2007,63,63, 
8309245,2007,2007,63,63, 
8309246,2007,2007,63,63, 
8309247,2007,2007,63,63, 
8309248,2007,2007,63,63, 
8309249,2007,2007,27,27,1
8309250,2007,2007,27,27,1
8309251,2007,2010,27,27,1
8309252,2007,2009,27,27,1
8309253,2007,2007,27,27,1
8309254,2007,2009,27,27,1
8309255,2007,2007,27,27,1
8309256,2007,2007,27,27,1
8309257,2007,2007,27,27,1
8309258,2007,2007,27,27,1
8309259,2007,2007,27,27,1
8309260,2007,2009,27,27,1
8309261,2007,2007,27,27,1
8309262,2007,2010,27,27,1
8309263,2007,2008,27,27,1
8309264,2007,2009,27,27,1
8309265,2007,2007,27,27,1
8309266,2007,2011,27,27,1
8309267,2007,2008,27,27,1
8309268,2007,2007,27,27,1
8309269,2007,2008,27,27,1
8309270,2007,2007,22,22,1
8309271,2007,2008,22,22,1
8309272,2007,2011,27,27,1
8309273,2007,2008,27,24,1
8309274,2007,2010,27,27,1
8309275,2007,2007,27,27,1
8309276,2007,2007,27,27,1
8309277,2007,2010,27,27,1
8309278,2007,2008,27,27,1
8309279,2007,2007,27,27,1
8309280,2007,2007,27,27,1
8309281,2007,2008,27,24,1
8309282,2007,2007,27,27,1
8309283,2007,2009,27,27,1
8309284,2007,2007,20,20,1
8309285,2007,2009,27,27,1
8309286,2007,2007,27,27,1
8309287,2007,2008,27,27,1
8309288,2007,2008,27,27,1
8309289,2007,2007,27,27,1
8309290,2007,2007,27,27,1
8309291,2007,2012,27,20,1
8309292,2007,2007,27,27,1
8309293,2007,2007,27,27,1
8309294,2007,2007,27,27,1
8309295,2007,2007,27,27,1
8309296,2007,2007,27,27,1
8309297,2007,2007,30,30, 
8309298,2007,2008,30,26,1
8309299,2007,2007,30,20,1
8309300,2007,2008,30,30, 
8309915,2008,2009,63,63, 
8414340,1992,1994,23,23,1
8414341,1992,1994,20,20,1
