IID FROH FGRM gen_het pruned_gen_het adsex fiflok laflok hatchyear presumedhatchyear firstyear lastyear minadyear maxadyear age1tarsus age1wing age1billD age1billL age1mass age1totba age1visba
8168709 0.00597367839111497 0.00362301 0.340913355926216 0.338560901165242 1 26 26 1999 NA 1999 2002 2000 2002 19.96 79.57 7.88 13.67 30.85 20.56 16.96
8168728 0.00271253780409567 0.00789702 0.334829587177491 0.339271705848116 1 26 26 1999 NA 1999 2000 2000 2000 NA NA NA NA NA NA NA
8168768 0 0.00653672 0.342587754174713 0.344334872738637 1 27 27 1999 NA 1999 2000 2000 2000 20.3 81.25 7.83 13.41 30.43 20.2 16.93
8168769 0 -0.0071697 0.349110241453149 0.348907872347814 1 27 27 1999 NA 1999 2000 2000 2000 20.05 82.31 8.2 13.72 31.23 20.09 16.97
8168771 0 -0.0265922 0.360442736145934 0.36122593443855 2 27 27 NA 1998 1999 1999 1999 1999 20 78.25 7.77 13.76 30.54 NA NA
8168772 0 -0.0177993 0.357810758962931 0.364217701415973 1 27 27 NA 1998 1999 1999 1999 1999 19 80.25 7.73 13.31 30.73 18.58 14.75
8309128 0 -0.0101087 0.350689439936447 0.352896732003439 2 30 27 2007 NA 2007 2010 2008 2010 NA NA NA NA NA NA NA
8309135 0 -0.0148886 0.345258184272697 0.350529887027386 2 27 27 NA 2007 2007 2008 2008 2008 20.75 81.84 8.17 13.87 31.92 NA NA
8309140 0.0216852611386194 0.0981243 0.30220191436562 0.307857105983171 1 27 27 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309141 0 0.00706614 0.333804467926391 0.339710005745007 1 27 27 NA 2007 2007 2010 2008 2010 19.07 81.06 8.01 13.84 29.79 20.4 17.33
8309143 0 -0.0102877 0.342099308472182 0.342849674966063 1 26 26 2007 NA 2007 2010 2008 2010 16.56 81.63 8.71 13.32 29.73 21.4 16.59
8309150 0.0124437194890464 0.0223555 0.334652458436505 0.332778744320389 1 28 28 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309155 0.0125850595568568 0.0246126 0.329942887014164 0.330693405846363 2 28 28 NA 2007 2007 2008 2008 2008 18.98 77.25 8.15 13.83 30.74 NA NA
8309156 0.00523727805482836 -0.000408412 0.338189155330872 0.338291348320317 1 28 28 NA 2007 2007 2013 2008 2013 19.74 80.68 7.97 12.88 33.69 18.81 14.82
8309158 0.0324666771387305 0.0436044 0.328875807085198 0.327471189536073 1 28 28 NA 2007 2007 2010 2008 2010 19.4 78.15 8.13 13.96 32.47 19.56 16.58
8309159 0 0.00399877 0.34340317132565 0.339797913950456 1 28 28 NA 2007 2007 2008 2008 2008 20.11 78.53 8.7 13.73 32.6 16.64 13.95
8309161 0 0.00157186 0.344412639613852 0.342162579317441 2 28 28 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309164 0.0713708314108133 0.101518 0.327794035481747 0.322815144163715 1 38 38 NA 2007 2007 2009 2008 2009 18.74 81.3 8.22 13.45 34.09 19.79 16.6
8309171 0 -0.021025 0.356915861722704 0.356356845531577 2 27 27 NA 2007 2007 2011 2008 2011 19.08 77.08 8.11 13.94 34.95 NA NA
8309173 0.00455472467709041 0.0462763 0.337118748550778 0.338042895905705 1 27 27 NA 2007 2007 2008 2008 2008 20.77 82.53 8.33 13.9 32.4 17.34 16.12
8309175 0.00259299449538918 0.000915621 0.337541887721584 0.340131578947368 2 27 26 NA 2007 2007 2013 2008 2013 19.08 79.27 8.25 13.4 30.48 NA NA
8309182 0 0.00588851 0.341759660766546 0.347812968741918 1 27 27 NA 2007 2007 2009 2008 2009 20.11 80.26 8.05 13.51 30.23 20.51 17.94
8309183 0 -0.0238069 0.357364794628707 0.358162157467321 1 27 27 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309184 0.00556205413794638 0.023717 0.332562197020727 0.334860256961844 2 27 24 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309185 0.140298327016755 0.17376 0.273103836786091 0.276339884724766 NA 27 27 NA 2007 2007 2007 NA NA NA NA NA NA NA NA NA
8309186 0 0.0031581 0.337734484148678 0.341646768981548 2 27 24 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309190 0.0089559647530883 0.0146522 0.339897236648215 0.33683553696708 1 26 26 NA 2007 2007 2011 2008 2011 18.91 82.09 8.27 13.88 32.26 20.21 14.69
8309191 0.0168178283934816 0.0297117 0.329961256995265 0.331135654666554 1 26 26 NA 2007 2007 2011 2008 2011 19.29 81.2 8.3 14.02 31.84 19.85 15.5
8309195 0 0.0024947 0.347909101945766 0.342381911835372 1 27 26 NA 2007 2007 2008 2008 2008 18.24 78.76 7.92 13.71 30.68 20.12 16.02
8309197 0.00241970260869166 -0.0114898 0.34736527081357 0.347909057154453 1 27 27 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309201 0.00480643679940062 0.0319902 0.334185448160867 0.33841651133172 1 25 23 2007 NA 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309206 0 0.0167284 0.338219380769401 0.340708188535376 NA 23 23 2007 NA 2007 2007 NA NA NA NA NA NA NA NA NA
8309251 0.0103644901280029 0.0103859 0.338895530318124 0.336034511926916 2 27 27 NA 2007 2007 2010 2008 2010 20 77.58 8.41 14.02 40.68 NA NA
8309252 0.00239370827912838 0.0126652 0.342253273324744 0.343557164058635 2 27 27 NA 2007 2007 2009 2008 2009 19.52 78.89 8.38 13.8 32.31 NA NA
8309254 0.00494374326434779 0.0192101 0.336711648445488 0.334266623151313 1 27 27 NA 2007 2007 2009 2008 2009 20.04 83.64 8.34 14.04 32.46 20.83 17.87
8309262 0 0.01365 0.336738355273486 0.339714026094262 1 27 27 NA 2007 2007 2010 2008 2010 NA NA NA NA NA NA NA
8309263 0 0.00902259 0.342003414911781 0.345982745261912 2 27 27 NA 2007 2007 2008 2008 2008 19.53 78.35 8.44 14.08 32 NA NA
8309264 0 0.00917247 0.343428074278083 0.341714372819349 2 27 27 NA 2007 2007 2009 2008 2009 NA NA NA NA NA NA NA
8309266 0 0.0136022 0.332035511937926 0.336484747943258 1 27 27 NA 2007 2007 2011 2008 2011 NA NA NA NA NA NA NA
8309267 0.00321278107735237 0.0101439 0.337867161808461 0.339305557930009 1 27 27 NA 2007 2007 2008 2008 2008 20 83.09 7.95 13.9 30.1 20.37 15.75
8309269 0.0475725745175335 0.0750152 0.312089592765196 0.312452350698856 1 27 27 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309272 0.0115717398131578 0.0229153 0.336040754983866 0.339388669880047 2 27 27 NA 2007 2007 2011 2008 2011 20.31 77.86 8.13 14.13 33.01 NA NA
8309273 0.00311751590403698 0.012845 0.337542607080699 0.337560170774438 2 27 24 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309274 0.108654220651631 0.128556 0.293406824031016 0.290904334323521 1 27 27 NA 2007 2007 2010 2008 2010 20.01 80.83 8.32 13.6 34.55 19.44 15.26
8309277 0 -0.0224116 0.358501506452163 0.357918512726957 1 27 27 NA 2007 2007 2010 2008 2010 20.76 81.44 8.82 13.88 32.8 18.78 12.35
8309278 0.00607307554785126 0.00901634 0.338479134091022 0.340560072267389 2 27 27 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309281 0.0309335801154966 0.0461749 0.328914225109373 0.328620864280891 1.33333333333333 27 24 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309283 0 0.0154201 0.342017817912853 0.337976508680658 2 27 27 NA 2007 2007 2009 2008 2009 19.8 81.79 8.55 13.93 32.63 NA NA
8309285 0.00578837314521222 0.037331 0.323798678349845 0.332412562516621 2 27 27 NA 2007 2007 2009 2008 2009 19.55 82.15 8.41 13.86 38.38 NA NA
8309287 0.0113196669621363 0.0256495 0.329561363221355 0.330276547550627 1 27 27 NA 2007 2007 2008 2008 2008 20.38 82.31 8.58 13.71 35.53 20.02 17.49
8309288 0.0105873548845783 0.0329135 0.334400494574037 0.333324901132445 1 27 27 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8309291 0 0.00580373 0.34063138440299 0.339666487908271 2 27 20 NA 2007 2007 2012 2008 2012 19.94 78.1 7.91 13.7 32.98 NA NA
8309298 0.00295124183045117 0.00323858 0.346557663008678 0.341850502597315 1 30 26 NA 2007 2007 2008 2008 2008 NA NA NA NA NA NA NA
8414501 0.00310654100627351 0.0220637 0.334643337521657 0.336612641266834 2 20 20 NA 1992 1992 1998 1993 1998 NA NA NA NA NA NA NA
8414806 0.00911718862471523 0.0161311 0.336595711776597 0.334036556345041 1 27 27 NA 1992 1993 1998 1993 1998 NA NA NA NA NA NA NA
8414812 0 -0.183701 0.412683986116787 0.418764259440331 2 28 28 NA 1992 1993 1999 1993 1999 NA NA NA NA NA NA NA
8537612 0 0.0129491 0.34489288869258 0.338534330800307 2 26 26 1994 NA 1994 2000 1995 2000 NA NA NA NA NA NA NA
8537652 0 -0.0582297 0.38818697343813 0.389898285808623 1 26 26 NA 1994 1994 1999 1995 1999 NA NA NA NA NA NA NA
8537699 0 0.00581821 0.342724897679634 0.34138789284961 1 20 20 NA 1994 1994 1999 1995 1999 NA NA NA NA NA NA NA
8537700 0.00221495080589527 0.0166332 0.334415225983087 0.334185114906178 1 20 20 NA 1994 1994 2001 1995 2001 NA NA NA NA NA NA NA
8537728 0.00773371749847975 0.0199424 0.331071268835966 0.33324897077681 2 27 27 1994 NA 1994 2001 1995 2001 NA NA NA NA NA NA NA
8573156 0.153435410813707 0.185996 0.27990181987042 0.277506949079511 2 26 26 1993 NA 1993 2001 1994 2001 NA NA NA NA NA NA NA
8573187 0.0062920378756402 0.0240986 0.336401752432858 0.333130200001693 1 26 26 1993 NA 1993 2000 1994 2000 NA NA NA NA NA NA NA
8573221 0 0.0073105 0.342294549850677 0.34054933841574 1 26 26 1993 NA 1993 1999 1994 1999 NA NA NA NA NA NA NA
8573515 0.00264197708192116 0.0150966 0.339336189382563 0.339605137763234 1 28 28 1993 NA 1993 1998 1994 1998 NA NA NA NA NA NA NA
8573567 0.00537641002567842 0.0272722 0.337937899189869 0.339026162790698 2 20 20 NA 1993 1993 1998 1994 1998 NA NA NA NA NA NA NA
8573572 0.00504561086619818 0.0148275 0.335636411836829 0.337026130831343 1 26 26 NA 1993 1993 2002 1994 2002 NA NA NA NA NA NA NA
8573603 0.012626707326258 0.0319435 0.330278015515861 0.332146593325009 2 27 27 NA 1993 1993 1998 1994 1998 NA NA NA NA NA NA NA
8573606 0.0155417232491513 0.0284213 0.329032508684891 0.331660208744902 2 27 27 NA 1993 1993 1998 1994 1998 NA NA NA NA NA NA NA
8573683 0 0.0276377 0.337835446118449 0.336150076052053 2 28 28 NA 1993 1994 1999 1994 1999 NA NA NA NA NA NA NA
8573845 0.0120847397653886 0.0238951 0.341154716564553 0.33349636138259 2 26 26 1994 NA 1994 1999 1995 1999 NA NA NA NA NA NA NA
8573856 0.00414924374318783 0.0263678 0.334106216186375 0.333507654675045 1 26 26 NA 1993 1994 1999 1994 1999 NA NA NA NA NA NA NA
8573864 0.0022386495891136 0.0119566 0.335717879117902 0.338952417951793 2 20 20 1994 NA 1994 1998 1995 1998 NA NA NA NA NA NA NA
8573872 0 0.00756605 0.341203542994076 0.339989728665583 1 28 28 NA 1993 1994 1999 1994 1999 NA NA NA NA NA NA NA
8573874 0 -0.00356335 0.343619939330626 0.343765206033754 1 28 28 1994 NA 1994 1998 1995 1998 NA NA NA NA NA NA NA
8573896 0.00911153720823743 0.0194601 0.334982277530559 0.334289377783777 1 27 27 1994 NA 1994 2001 1995 2001 NA NA NA NA NA NA NA
8573966 0.214019251326143 0.270011 0.252232068770952 0.254254338876161 1 27 27 1994 NA 1994 1999 1995 1999 NA NA NA NA NA NA NA
8598501 0.0393752878314509 0.0631051 0.32694155191643 0.324902559603152 2 331 28 NA 1994 1994 1999 1995 1999 NA NA NA NA NA NA NA
8598555 0.00310974383998337 0.0106999 0.336045042448961 0.339278153210372 2 27 27 1995 NA 1995 2000 1996 2000 NA NA NA NA NA NA NA
8598568 0.00763797135354923 0.0155867 0.335254053934718 0.335910623946037 1 26 26 NA 1995 1995 1998 1996 1998 NA NA NA NA NA NA NA
8598593 0.0121020110188411 0.0135269 0.340602046353429 0.338363414071116 1 28 28 1996 NA 1996 1998 1997 1998 NA NA NA NA NA NA NA
8598594 0.0209479535149679 0.0289949 0.336373618491114 0.332490390451143 2 28 28 1996 NA 1996 1998 1997 1998 NA NA NA NA NA NA NA
8598595 0.0056705460306779 0.0223657 0.336694715284271 0.336256166014628 1 28 28 1996 NA 1996 1998 1997 1998 NA NA NA NA NA NA NA
8598596 0.0231228197092111 0.0395366 0.331724080591969 0.332531365688774 1 28 28 1996 NA 1996 1998 1997 1998 NA NA NA NA NA NA NA
8598602 0 0.00921786 0.344322830292979 0.341785195445792 1 28 28 NA 1994 1994 2000 1995 2000 NA NA NA NA NA NA NA
8598614 0.0119141041537474 0.0129385 0.339216241265824 0.339978452846515 1 28 28 NA 1994 1994 1999 1995 1999 NA NA NA NA NA NA NA
8598728 0 -0.00748497 0.350563652959541 0.350765306122449 1 26 26 NA 1995 1995 2000 1996 2000 NA NA NA NA NA NA NA
8598748 0.0163828770169791 0.208282 0.256823971157329 0.266419542703548 2 27 27 1995 NA 1995 2000 1996 2000 NA NA NA NA NA NA NA
8598849 0 -0.220787 0.421213374866154 0.425775634188193 1 28 28 NA 1995 1995 1998 1996 1998 NA NA NA NA NA NA NA
8598887 0 0.0109364 0.343745152354571 0.341282135933836 1 26 26 1995 NA 1995 1998 1996 1998 NA NA NA NA NA NA NA
8598907 0.00229100990812458 0.0207289 0.334479276455559 0.334429186792437 2 26 28 1995 NA 1995 1998 1996 1998 NA NA NA NA NA NA NA
8651515 0 -0.178847 0.409938664919907 0.411701014512534 2 26 27 1996 NA 1996 1999 1997 1999 NA NA NA NA NA NA NA
8651522 0.0032656551614977 0.00077495 0.346410430726204 0.340793918918919 2 28 28 1996 NA 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651524 0 -0.155292 0.396388608459627 0.405563338740599 1 28 28 NA 1995 1996 1998 1996 1998 NA NA NA NA NA NA NA
8651525 0 -0.169193 0.396991938679552 0.404521977823527 1 28 28 NA 1995 1996 1999 1996 1999 NA NA NA NA NA NA NA
8651527 0 0.015078 0.344811168358585 0.348165157488844 2 27 27 NA 1996 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651534 0.00295201794373922 -0.0123214 0.345158827888628 0.34448983065271 2 26 26 1996 NA 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651539 0.0385620085549547 0.0819883 0.309773362413749 0.316021374332052 2 26 26 1996 NA 1996 1999 1997 1999 NA NA NA NA NA NA NA
8651543 0.00616094031699746 0.0158742 0.337113835531557 0.336863457718802 2 26 26 1996 NA 1996 2002 1997 2002 NA NA NA NA NA NA NA
8651548 0 0.0207228 0.332993047125041 0.333766047660392 2 26 26 NA 1996 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651566 0.0533959383477466 0.230268 0.2561704485697 0.257609015019271 1 28 28 1996 NA 1996 1999 1997 1999 NA NA NA NA NA NA NA
8651576 0.13254593907467 0.17797 0.287794262231698 0.281771453168916 1 20 20 NA 1995 1996 2000 1996 2000 NA NA NA NA NA NA NA
8651586 0.00218755728617888 0.0166792 0.335077638122996 0.336197664122781 1 27 28 1996 NA 1996 1998 1997 1998 NA NA NA NA NA NA NA
